ck_id,lat,lng,additional_notes,base_area,base_perimeter,base_shape,birthID,bolted_to_ground,condition_notes,depth,faucet_design,faucet_height_cm,faucet_length_cm,flow_rate,format,height,height_cm,high_traffic_area,material,number_of_drains,old_code,original_paint_remaining_pct,owner,parish,raised_drain,risk_factor_algae_pct,risk_factor_graffiti_pct,risk_factor_grime,risk_factor_missing_pieces,risk_factor_overall_damage_pct,risk_factor_rust_percent,risk_factor_surface_damage_percent,running,service_panel,sestiere_or_island,street,street_address,subtype,surface_area_sq_cm,totalDonated,type,visibility,width,width_cm,wiki_friendly_title
693a148f-0c65-f70e-ff6c-8c5f9117c880,45.43713613,12.3244699,,601,82,octagon,SP3097F,FALSE,,8,spout,61,14,3.1,JPEG,3264,88,TRUE,metal,1,14,2,City of Venice,unknown,FALSE,30,0,medium,none,17,20,10,TRUE,TRUE,San Polo,Calle Larga o Campiello de le Chiovere,SP3097,type D,6359,0,fountain,high,2448,26.8,Fountain - SP3097F_2014
6a1d88a8-c561-7b46-5261-0d987dfa8129,45.42971562,12.32871981,,3234,238,square with rounded corners,DD822F,TRUE,,8,lion,81,8,3.7,JPEG,3264,146,FALSE,metal,1,7,1,City of Venice,Gesuati,TRUE,20,0,medium,none,12,1,3,TRUE,TRUE,Dorsoduro,Piscina S. Agnese,DD822,type B,14054,0,fountain,medium,2448,59.5,Fountain - DD822F_2014
6a40321b-06d5-3b4f-17d3-fefb3867ac68,45.43648013,12.32872026,,601,82,octagon,SP2759F,FALSE,,8,spout,59,14,0,JPEG,3264,88,FALSE,metal,1,15,2,City of Venice,Frari,FALSE,10,0,medium,none,15,15,0,TRUE,TRUE,San Polo,Calle dei Nomboli,SP2759,type D,6359,0,fountain,medium,2448,26.8,Fountain - SP2759F_2014
6e8cfd82-9845-9164-fadc-1a879506b3e0,45.44699864,12.32655144,,3234,238,square with rounded corners,CN3215F,FALSE,,8,lion,80,8,0.77,JPEG,3264,140,FALSE,metal,1,72,0,VESTA,unknown,TRUE,5,0,medium,None,18,40,3,TRUE,FALSE,Cannaregio,Calle dei Riformati,CN3215,type B,14054,0,fountain,medium,2448,59.5,Fountain - CN3215F_2014
73141432-7925-3174-192c-e683e536809e,45.4417823,12.3371967,There's a 'push' button. Blocked drain,3234,238,square with rounded corners,CN4688F,FALSE,,8,lion,83,8,6.2,JPEG,3264,125,FALSE,metal,1,60,0,City of Venice,Ss. Apostoli,TRUE,15,0,medium,none,20,5,5,TRUE,TRUE,Cannaregio,Rio Ter_ Barba Frutariol,CN4688,type B,14054,0,fountain,medium,1840,59.5,Fountain - CN4688F_2014
771526d8-e193-29d9-8f4d-ac99272a7f88,45.433001,12.338961,,1052.412061,115,Circle,SM0F,FALSE,,8,spout,66,13,1.4,JPEG,3264,117,,stone,1,,,City of Venice,,,15,0,50,0,,0,5,,TRUE,San Marco,riva degli schiavoni,SM0,other,14585.41206,,,High,2448,,Fountain - SM0F_2014
77b8fc5e-4553-c118-9b62-c53b0c193f01,45.43730507,12.34805784,,3234,238,rectangle,CS3037F,FALSE,,8,lion,74,11,0,JPEG,3264,139,FALSE,metal,1,84,0,VESTA,S. Francesco de la Vigna,TRUE,0,0,low,None,19,5,15,FALSE,FALSE,Castello,Ramo de la Vida,CS3037,type B,14054,0,fountain,low,2448,59.5,Fountain - CS3037F_2014
7878c3f7-df46-49fd-3623-e965f64a5001,45.485607,12.415171,,462.25,86,Square,BN25F,TRUE,,8,lion,85,0,0,JPEG,3264,125,,metal,1,,,City of Venice,,,0,10,50,0,,20,5,,TRUE,Burano,Corte Compare,BN25,Type B_Puglia,11212.25,,,high,2448,,Fountain - BN25F_2014
792b111e-b03a-99a1-39a9-26e290f96bb0,45.431101,12.323637,,3781.839758,218,Circle,DD1439F,FALSE,,,lion,70,0,0,,,120,,stone,1,,,City of Venice,,,15,0,15,0,,0,0,,TRUE,Dorsoduro,campo ognissanti,DD1439,Other,29941.83976,,,Medium,,,Fountain - DD1439F_2014
7be249f1-cda3-0261-c441-1a9560046108,45.43343985,12.33500024,basin and grate filled with concrete,3234,238,square with rounded corners,SM2058F,FALSE,basin and grate filled with concrete,8,lion,80,8,0,JPEG,3264,116,FALSE,metal,0,41,0,VESTA,S. Maria Zobenigo,TRUE,0,0,medium,some,18,95,0,FALSE,FALSE,San Marco,Piscina S. Moise',SM2058,type B,14054,0,fountain,medium,2448,59.5,Fountain - SM2058F_2014
